"","x"
"run_00352",0.476259074285803
"run_00353",0.427527742002041
"run_00354",0.254971955339543
"run_00355",0.397245730782813
"run_00356",-0.641623759028599
"run_00357",-0.00444527501838077
"run_00358",0.125530924333303
"run_00359",-0.102543834701968
"run_00360",0.373932820237636
"run_00361",0.134705351184876
"run_00362",0.359130990887437
"run_00363",-0.317801485235955
"run_00364",0.419939120323939
"run_00365",0.465853941095172
"run_00366",0.15453779908973
"run_00367",0.335807869616518
"run_00368",0.421865746895197
"run_00369",0.371695399240029
"run_00370",-0.111533360972576
"run_00371",-0.862699185502568
"run_00372",-0.0490875926977121
"run_00373",0.472295744761089
"run_00374",0.263332647237915
"run_00375",-0.0836362153399028
"run_00376",-1.11912453430219
"run_00377",-0.202926822473584
"run_00378",0.454378370365921
"run_00379",0.530438967014495
"run_00380",0.0361035293196615
"run_00381",0.421865746895197
"run_00382",-0.215980674512057
"run_00383",0.342092952368993
"run_00384",0.145899466751509
"run_00385",0.381403149144778
"run_00386",0.247617339195151
"run_00387",-1.00745798239103
"run_00388",0.337633771130956
"run_00389",0.0937879470508892
"run_00390",-1.80464246299584
"run_00391",0.394098386082456
"run_00392",-0.0359428650925802
"run_00393",-0.621193651571828
"run_00394",0.252627183115132
"run_00395",0.0764793256362454
"run_00396",0.287911762043495
"run_00397",-0.246280159598392
"run_00398",0.00987389365874369
"run_00399",-0.410199191856794
"run_00400",0.249818273440618
"run_00401",-0.278991781582425
"run_00402",0.278798378826227
"run_00403",-0.24355426566126
"run_00404",0.179763374462965
"run_00405",0.255867512911375
"run_00406",-0.0557938288054507
"run_00407",0.333403624864241
"run_00408",-0.186025130507314
"run_00409",0.378057464968621
"run_00410",0.334477051444395
"run_00411",0.411887400197277
"run_00412",-0.272203817833095
"run_00413",0.519825624150388
"run_00414",-1.12415111126649
"run_00415",0.129856164480063
"run_00416",0.290268258212279
"run_00417",0.495219156247803
"run_00418",-0.307120043232631
"run_00419",-0.0830447838616635
"run_00420",0.179323213305745
"run_00421",-0.10928767659743
"run_00422",0.214722186135486
"run_00423",-0.888958030157654
"run_00424",-0.607130463331297
"run_00425",0.346213198430418
"run_00426",-0.377399661826707
"run_00427",-0.91980148131158
"run_00428",-0.0825604729279383
"run_00429",-0.158343541858964
"run_00430",0.450704994827534
"run_00431",-0.384076976372525
"run_00432",-0.396141115030945
"run_00433",-0.431731307989156
"run_00434",0.490911906948839
"run_00435",0.436661536995042
"run_00436",0.331694980839525
"run_00437",-0.056125572049603
"run_00438",0.0499970848399919
"run_00439",0.310972859797937
"run_00440",0.127795975991081
"run_00441",0.476606188779245
"run_00442",-0.2626878064141
"run_00443",-1.39940342925149
"run_00444",0.497964058602359
"run_00445",0.201011756259011
"run_00446",0.103418002487402
"run_00447",-0.73791896987978
"run_00448",0.185066141939058
"run_00449",-0.298444489190987
"run_00450",0.36563994834918
"run_00451",0.23196596002435
"run_00452",0.121355625056882
"run_00453",0.416166682602929
"run_00454",-0.21863060794772
"run_00455",0.349186562329782
